ArTId;ArTVersion;ArTCreated;ArTChanged;FournisseurId;FournisseurName;ArTName;ArTXEpsg2154;ArTYEpsg2154;ArRId;ArTType;ArTPrivateCode;ArTFareZone;ArTAccessibility;ArTAudibleSignals;ArTVisualSigns;ArTTown;ArTPostalRegion;ArTGeopoint
50145639;1267245-1377397;2018-04-11T23:23:05+02:00;2021-05-05T15:36:55+02:00;59;RATP;EUROPARC;661106;6851999;21790;bus;57505;3;false;unknown;unknown;Créteil;94028;48.766919598313095,2.4708261552012796
50145650;1267235-1324030;2018-04-11T23:22:23+02:00;2021-05-05T15:36:52+02:00;59;RATP;POINTE DU LAC;660583;6852205;21802;bus;57516;3;false;unknown;unknown;Créteil;94028;48.768740567691054,2.4636916397720716
50145659;1267230-27762;2018-04-11T23:22:09+02:00;2021-05-05T15:36:50+02:00;59;RATP;COLOMBE - HARDELET;666384;6856780;27762;bus;57643;4;false;unknown;unknown;Champigny-sur-Marne;94017;48.81021454238219,2.542257380694619
50145661;1267228-27775;2018-04-11T23:22:12+02:00;2021-05-05T15:36:50+02:00;59;RATP;RUE DU BOIS L'ABBE - LOUISE COLLET;666195;6856883;27775;bus;57645;4;false;unknown;unknown;Champigny-sur-Marne;94017;48.81113098393078,2.539675685930725
50145747;1267204-27913;2018-04-11T23:20:04+02:00;2021-05-05T15:36:42+02:00;59;RATP;CHARLES GARCIA - COLLEGE JEAN MACE;661925;6861833;27913;bus;58724;3;true;unknown;unknown;Fontenay-sous-Bois;94033;48.85540933214959,2.4810895200295207
50145770;1267198-1008232;2018-04-11T23:20:31+02:00;2021-05-05T15:36:40+02:00;59;RATP;DOLET - ZOLA;657601;6855695;27800;bus;59130;3;true;unknown;unknown;Alfortville;94002;48.799939000430584,2.4227727756064628
50146095;1267193-1326312;2018-04-11T23:28:18+02:00;2021-05-05T15:36:39+02:00;59;RATP;ARCUEIL-CACHAN RER;650672;6855526;29010;bus;63039;3;true;unknown;unknown;Cachan;94016;48.797926360532706,2.328463982430717
50146948;1267185-1030636;2019-02-12T11:27:25+01:00;2021-05-05T15:36:36+02:00;59;RATP;GRAVELLE - LIBERTE;656540;6858601;463664;bus;69419;2;true;unknown;unknown;Charenton-le-Pont;94018;48.826002923804786,2.408032085064209
50146949;1267184-1030640;2019-02-12T11:27:34+01:00;2021-05-05T15:36:36+02:00;59;RATP;GRAVELLE - JAURES;656931;6858445;463665;bus;69420;2;true;unknown;unknown;Charenton-le-Pont;94018;48.824626225942495,2.413373478284303
50147296;1267181-1300796;2019-08-06T18:04:54+02:00;2021-05-05T15:36:35+02:00;59;RATP;LENINE;650845;6856689;477660;bus;69893;2;false;unknown;unknown;Arcueil;94003;48.80839879433003,2.3306848367355366
50147313;1267180-1155701;2019-09-02T18:04:30+02:00;2021-05-05T15:36:34+02:00;59;RATP;VACHE NOIRE;650583;6856965;478344;bus;69913;2;false;unknown;unknown;Arcueil;94003;48.81086090799534,2.3270854808929453
50121405;1267173-30126;2018-04-11T19:07:49+02:00;2021-05-05T15:32:25+02:00;59;RATP;PLACE SEVERINE;656612;6864854;30126;bus;1453;2;true;unknown;unknown;Le Pré-Saint-Gervais;93061;48.8822408564389,2.4083746207907466
50121406;1267172-1350159;2018-04-11T19:07:50+02:00;2021-05-05T15:32:25+02:00;59;RATP;JEAN JAURES-BELVEDERE;656597;6864674;30122;bus;1454;2;true;unknown;unknown;Le Pré-Saint-Gervais;93061;48.88062114977213,2.408188488266048
